time,modified,id,user,favorite_rank_action,favorite_added,favorite_removed,campus_code,institution_code,table_source,data_source,event
2025-07-08 19:26:39.413456+00:00,2025-07-08 19:26:39.413458+00:00,46987,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,311001041521,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 19:23:10.372547+00:00,2025-07-08 19:23:10.372549+00:00,46986,e9700a84-ec45-4398-ace2-de0359c87166,UP,False,False,111850000081,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 19:23:10.351862+00:00,2025-07-08 19:23:10.351863+00:00,46985,e9700a84-ec45-4398-ace2-de0359c87166,UP,False,False,165,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 19:23:10.329506+00:00,2025-07-08 19:23:10.329508+00:00,46984,e9700a84-ec45-4398-ace2-de0359c87166,UP,False,False,411001098578,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 19:23:10.303999+00:00,2025-07-08 19:23:10.304002+00:00,46983,e9700a84-ec45-4398-ace2-de0359c87166,,False,True,1100100012452,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 19:08:09.393818+00:00,2025-07-08 19:08:09.393821+00:00,46982,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,11001_JP_113,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 19:05:28.393777+00:00,2025-07-08 19:05:28.393779+00:00,46981,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,211850000981,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 19:04:56.037067+00:00,2025-07-08 19:04:56.037070+00:00,46980,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,1100100012452,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 18:32:09.203451+00:00,2025-07-08 18:32:09.203453+00:00,46979,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,311001109401,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 17:15:09.463773+00:00,2025-07-08 17:15:09.463776+00:00,46978,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,111001000078,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 16:58:21.806460+00:00,2025-07-08 16:58:21.806463+00:00,46977,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,311001089841,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 16:50:53.883783+00:00,2025-07-08 16:50:53.883788+00:00,46976,217bd927-48f9-49f0-a3b9-00b29f0dd049,DOWN,True,False,311001000131,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 16:45:48.797934+00:00,2025-07-08 16:45:48.797935+00:00,46975,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,1100100124209,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 16:40:35.145493+00:00,2025-07-08 16:40:35.145495+00:00,46974,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,1100100028073,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 16:33:12.684618+00:00,2025-07-08 16:33:12.684620+00:00,46973,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,11001_JP_791,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 16:23:52.758369+00:00,2025-07-08 16:23:52.758371+00:00,46972,217bd927-48f9-49f0-a3b9-00b29f0dd049,DOWN,True,False,211850000931,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 16:21:44.667031+00:00,2025-07-08 16:21:44.667079+00:00,46971,217bd927-48f9-49f0-a3b9-00b29f0dd049,,False,True,1100100015915,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 16:20:51.247678+00:00,2025-07-08 16:20:51.247680+00:00,46970,217bd927-48f9-49f0-a3b9-00b29f0dd049,DOWN,True,False,1100100015915,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 16:18:15.818785+00:00,2025-07-08 16:18:15.818788+00:00,46969,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,110011111339,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 16:17:48.633512+00:00,2025-07-08 16:17:48.633514+00:00,46968,e9700a84-ec45-4398-ace2-de0359c87166,,False,True,110011150607,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 16:15:59.340167+00:00,2025-07-08 16:15:59.340170+00:00,46967,e9700a84-ec45-4398-ace2-de0359c87166,UP,False,False,110011150607,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 16:15:59.315918+00:00,2025-07-08 16:15:59.315920+00:00,46966,e9700a84-ec45-4398-ace2-de0359c87166,,False,True,110011115487,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 16:02:42.304981+00:00,2025-07-08 16:02:42.304983+00:00,46965,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,110011150607,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 15:40:16.717265+00:00,2025-07-08 15:40:16.717266+00:00,46964,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,110011115487,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
